RB_ID,KO_Name,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
210815,Bauer,,,,,,,,Würzburg
210819,Schmid,,,,Dr.,,,,Frankfurt
210820,Baur,,,,,,,,Augsburg
210822,Weber,,,,Dr. h. c.,,,,Essen
210833,Schröter,,,,,,,,Berlin
210833,Große Heiterkeit.,,,,,,,,
210901,Schröter,,,,,,,,Berlin
210953,Schmitt,,,,,,,,Vockenhausen
210959,Schmid,,,,Dr.,,,,Frankfurt
211154,Schmitt,,,,,,,,Vockenhausen
211306,Heiterkeit.,,,,,,,,
211306,Schröter,,,,,,,,Berlin
211373,h.c. Weber[Essen],,,,Dr.,,,,Essen
211384,Schmid,,,,Dr.,,,,Frankfurt
211424,Schröder,,,,Dr.,,,,Düsseldorf
211476,Schneider,,,,,,,,Bremerhaven
211570,Schmücker,,,,,,,SPD,
211611,Lenze,,,,,,,,Attendorn
211629,Schütz,,,,,,,,München
211642,Schütz,,,,,,,,
211802,Weber,,,,Dr. h. c.,,,,Essen
211865,Kühn,,,,,,,,Köln
211871,Schmidt,,,,Dr.,,,,Wuppertal
211895,Schmidt,,,,Dr.,,,,Wuppertal
212012,Schneider,,,,,,,,Bremerhaven
212043,Beyer,,,,,,,,Frankfurt
212045,Becker,,,,Dr.,,,,
212063,Beifall.,,,,,,,,
212063,Schröter,,,,,,,,Berlin
212092,Schmidt,,,,,,,,Hamburg
212207,Schneider,,,,,,,,Bremerhaven
212272,Zuruf  SPD,,,,,von der,,SPD,
212272,Schmidt,,,,,,,,Hamburg
212280,Schröter,,,,,,,,Berlin
212315,Weber,,,,Dr. h. c.,,,,Essen
212326,Schmidt,,,,,,,,Hamburg
212326,Mommer,,,,Dr.,,,,
212326,Zuruf  SPD,,,,,von der,,SPD,
212386,Döring,,,,,,,,Düsseldorf
212405,Döring,,,,,,,,Düsseldorf
212407,Schmidt,,,,,,,,Hamburg
212424,Kalinke,,,,,,,SPD,
212425,Kliesing,,,,Dr.,,,,Honnef
212438,Schmid,,,,Dr.,,,,Frankfurt
212450,Schmid,,,,Dr.,,,,Frankfurt
212485,Kliesing,,,,Dr.,,,,
212485,Weber,,,,Dr. h. c.,,,,Essen
212540,Schmid,,,,Dr.,,,,Frankfurt
212560,Wacher,,,,,,,,Hof
212560,Widerspruch in der Mitte.,,,,,,,,
212578,Lachen in der Mitte.,,,,,,,,
212578,Kliesing,,,,Dr.,,,,Honnef
212640,Schneider,,,,,,,,Bremerhaven
212689,Schmid,,,,Dr.,,,,Frankfurt
212695,Schmitt,,,,,,,,Vockenhausen
212705,Schmitt,,,,,,,,Vockenhausen
212826,Weber,,,,Dr. h. c.,,,,Essen
212828,Weber,,,,Dr. h. c.,,,,Essen
212855,Schütz,,,,,,,,München
212860,Schütz,,,,,,,,München
212891,Schmidt,,,,,,,,Hamburg
212907,Schütz,,,,,,,,München
212915,Weber,,,,Dr. h. c.,,,,Essen
212939,Schmitt,,,,,,,,Vockenhausen
212958,Lenze,,,,,,,,Attendorn
212977,Schmidt,,,,,,,,Hamburg
212982,Schmitt,,,,,,,,Vockenhausen
213002,Heiland,,,,,,,,
213002,Schmidt,,,,,,,,Hamburg
213002,Schmidt,,,,,,,,Hamburg
213004,Schmidt,,,,,,,,Hamburg
213007,Schmidt,,,,,,,,Hamburg
213012,Schmidt,,,,,,,,Hamburg
213080,Weber,,,,Dr.,,,,Koblenz
213205,Weber,,,,Dr.,,,,Koblenz
213215,Weber,,,,Dr.,,,,Koblenz
213246,Schmid,,,,Dr.,,,,Frankfurt
213252,Weber,,,,Dr.,,,,Koblenz
213464,Weber,,,,Dr. h. c.,,,,Essen
213465,Wacher,,,,,,,,Hof
213472,Lange,,,,,,,,Essen
213504,Weber,,,,Dr.,,,,Koblenz
213641,Beyer,,,,,,,,Frankfurt
213768,Schmitt,,,,,,,,Vockenhausen
213815,Schmitt,,,,,,,,Vockenhausen
213821,Schmitt,,,,,,,,Vockenhausen
213825,Schmitt,,,,,,,,Vockenhausen
213833,Schmitt,,,,,,,,Vockenhausen
213849,Schmitt,,,,,,,,Vockenhausen
213853,Schmitt,,,,,,,,Vockenhausen
213972,Weber,,,,Dr.,,,,Koblenz
213993,Kliesing,,,,Dr.,,,,Honnef
214056,Schütz,,,,,,,,München
214215,Schmid,,,,Dr.,,,,Frankfurt
214241,Lange,,,,,,,,Essen
214271,Becker,,,,Dr.,,,,Hersfeld
214361,Schmidt,,,,,,,,Hamburg
214430,Schmid,,,,Dr.,,,,Frankfurt
214439,Baur,,,,,,,,Augsburg
214518,Becker,,,,Dr.,,,,Hersfeld
214526,Baur,,,,,,,,Augsburg
214577,Kliesing,,,,Dr.,,,,Honnef
214610,Schmitt,,,,,,,,Vockenhausen
214755,Schmidt,,,,Dr.,,,,Wuppertal
215141,Schmitt,,,,,,,,Vockenhausen
215146,Schmitt,,,,,,,,Vockenhausen
215317,Schmitt,,,,,,,,Vockenhausen
215459,Könen,,,,,,,,Düsseldorf
215567,Schröter,,,,,,,,Berlin
215703,Beyer,,,,,,,,Frankfurt
215749,Schütz,,,,,,,,München
215750,Schütz,,,,,,,,München
215820,Schmitt,,,,,,,,Vockenhausen
215830,Schmitt,,,,,,,,Vockenhausen
215860,Jahn,,,,,,,,Marburg
215862,Weber,,,,Dr.,,,,Koblenz
215864,Weber,,,,Dr.,,,,Koblenz
215882,Schmid,,,,Dr.,,,,Frankfurt
215985,Lange,,,,,,,,Essen
216289,Lange,,,,,,,,Essen
216306,Jahn,,,,,,,,Marburg
216312,Weber,,,,Dr.,,,,Koblenz
216353,Weber,,,,Dr.,,,,Koblenz
216378,Jahn,,,,,,,,Marburg
216398,Jahn,,,,,,,,Marburg
216406,Jahn,,,,,,,,Marburg
216709,Könen,,,,,,,,Düsseldorf
216906,Lange,,,,,,,,Essen
217166,Schröter,,,,,,,,Berlin
217183,Schmid,,,,Dr.,,,,Frankfurt
217232,Schmitt,,,,,,,,Vockenhausen
217375,Baier,,,,,,,,Mosbach
217430,Schmitt,,,,,,,,Vockenhausen
217511,Schmitt,,,,,,,,Vockenhausen
217542,Schmid,,,,,,,,Frankfurt
217567,Schmid,,,,Dr.,,,,Frankfurt
217575,Kühn,,,,,,,,Köln
217660,Schmid,,,,Dr.,,,,Frankfurt
217688,Schmitt,,,,,,,,Vockenhausen
217753,Schneider,,,,,,,,Bremerhaven
217769,Schneider,,,,,,,,Bremerhaven
