RB_ID,KO_Name,GESCHLECHT,FUNKTION,POSITION,ANREDE_TITEL,PRAEFIX,ADEL,PARTEI,ORTSZUSATZ
155397,Etzel,,,,,,,,Duisburg
155522,Mayer,,,,,,,,Stuttgart
155522,Unruhe.,,,,,,,,
155760,Richter,,,,Dr.,,,,Niedersachsen
156384,Schmid,,,,Dr.,,,,Tübingen
156384,Heiterkeit.,,,,,,,,
156385,Schmid,,,,Dr.,,,,Tübingen
156386,Schmid,,,,Dr.,,,,Tübingen
156409,Schmid,,,,Dr.,,,,Tübingen
156451,Schmid,,,,Dr.,,,,Tübingen
156453,Schmid,,,,Dr.,,,,Tübingen
156457,Schmid,,,,Dr.,,,,Tübingen
156548,Paul,,,,,,,,Düsseldorf
156599,Schmid,,,,Dr.,,,,Tübingen
156706,Schmid,,,,Dr.,,,,Tübingen
156706,Heiterkeit.,,,,,,,,
156708,Schmid,,,,Dr.,,,,Tübingen
156727,Richter,,,,Dr.,,,,Niedersachsen
156758,Weber,,,,Dr.,,,,Essen
156889,Weber,,,,Dr.,,,,Essen
156891,Schmid,,,,Dr.,,,,Tübingen
156902,Weber,,,,Dr.,,,,Essen
156904,Kohl,,,,,,,,Stuttgart
156908,Mayer,,,,,,,,Stuttgart
156984,Schmid,,,,Dr.,,,,Tübingen
157097,Schmid,,,,Dr.,,,,Tübingen
157173,Weber,,,,Dr.,,,,Essen
157218,Schmidt,,,,,,,,Bayern
157266,Paul,,,,,,,,Düsseldorf
157369,Etzel,,,,Dr.,,,,Bamberg
157419,Paul,,,,,,,,Düsseldorf
157419,Zuruf rechts,,,,,,,,
157517,Weber,weiblich,,,Dr.,,,,Essen
157590,Weber,,,,Dr.,,,,Essen
157593,Weber,,,,Dr.,,,,Essen
157650,Kohl,,,,,,,,Stuttgart
157711,Kohl,,,,,,,,Stuttgart
157727,Paul,,,,,,,,Düsseldorf
157740,Schröder,,,,Dr.,,,,Düsseldorf
157742,Schröder,,,,Dr.,,,,Düsseldorf
157744,Schröder,,,,Dr.,,,,Düsseldorf
157748,Etzel,,,,,,,,Duisburg
157770,Becker,,,,Dr.,,,,Hersfeld
157783,Paul,,,,,,,,Düsseldorf
157785,Paul,,,,,,,,Düsseldorf
157823,Paul,,,,,,,,Düsseldorf
157895,Schmid,,,,Dr.,,,,Tübingen
157950,Kohl,,,,,,,,Stuttgart
157962,Kohl,,,,,,,,Stuttgart
158072,Weber,,,,Dr.,,,,Essen
158115,Kohl,,,,,,,,Stuttgart
158124,Paul,,,,,,,,Düsseldorf
158140,Mayer,,,,,,,,Stuttgart
158165,Kohl,,,,,,,,Stuttgart
158201,Schmid,,,,Dr.,,,,Tübingen
158286,Kohl,,,,,,,,Stuttgart
158413,Kohl,,,,,,,,Stuttgart
158448,Kohl,,,,,,,,Stuttgart
158522,Paul,,,,,,,,Düsseldorf
158542,Paul,,,,,,,,Düsseldorf
158566,Kohl,,,,,,,,Stuttgart
158575,Richter,,,,,,,,Frankfurt
158582,Richter,,,,,,,,Frankfurt
158615,Kohl,,,,,,,,Stuttgart
158632,Richter,,,,,,,,Frankfurt
158635,Kohl,,,,,,,,Stuttgart
158792,Richter,,,,,,,,Frankfurt
158832,Schmid,,,,Dr.,,,,Tübingen
158911,Paul,,,,,,,,Württemberg
158931,Paul,,,,,,,,Württemberg
159037,Kohl,,,,,,,,Stuttgart
159179,Schmid,,,,Dr.,,,,Tübingen
159193,Mayer,,,,,,,,Stuttgart
159239,Heiterkeit.,,,,,,,,
159239,Müller,,,,,,,,Frankfurt
159260,Weber,,,,Dr.,,,,Essen
159264,br. Weber,,,,,,,,Essen
159284,Mayer,,,,,,,,Stuttgart
159298,Schmid,,,,Dr.,,,,Tübingen
159301,Schmid,,,,Dr.,,,,Tübingen
159311,Weber,,,,Dr.,,,,Essen
159331,Schmid,,,,Dr.,,,,Tübingen
159554,Schmid,,,,Dr.,,,,Tübingen
159579,Mayer,,,,,,,,Stuttgart
159691,Mayer,,,,,,,,Stuttgart
159773,Weber,,,,Dr.,,,,Essen
159787,Weber,,,,Dr.,,,,Essen
159810,Kohl,,,,,,,,Stuttgart
159904,Etzel,,,,,,,,Duisburg
159920,Etzel,,,,,,,,Duisburg
159924,Etzel,,,,,,,,Duisburg
159931,Schröder,,,,Dr.,,,,Düsseldorf
160004,Weber,,,,Dr.,,,,Essen
160007,Weber,,,,Dr.,,,,Essen
160067,Richter,,,,,,,,Frankfurt
160171,Weber,,,,Dr.,,,,Essen
160172,Weber,,,,Dr.,,,,Essen
160258,Müller,,,,Dr.,,,,Bonn
160282,Mayer,,,,,,,,Stuttgart
160282,Zurufe rechts.,,,,,,,,
160323,Paul,,,,,,,,Düsseldorf
160448,Schmid,,,,Dr.,,,,Tübingen
160458,Mayer,,,,,,,,Stuttgart
160505,Richter,,,,Dr.,,,,Niedersachsen
160598,Weber,,,,Dr.,,,,Essen
160619,Schmid,,,,Dr.,,,,Tübingen
160794,Schröder,,,,Dr.,,,,Düsseldorf
160851,Weber,,,,Dr.,,,,Essen
160875,Schmid,,,,Dr.,,,,Tübingen
160882,Weber,,,,Dr.,,,,Essen
160909,Richter,,,,Dr.,,,,Niedersachsen
160940,Etzel,,,,Dr.,,,,Bamberg
160996,Weber,,,,Dr.,,,,Essen
160998,Weber,,,,Dr.,,,,Essen
161008,Weber,,,,Dr.,,,,Essen
161029,Richter,,,,,,,,
161045,Richter,,,,,,,,Frankfurt
161057,Mayer,,,,,,,,Stuttgart
161097,Richter,,,,Dr.,,,,Niedersachsen
161108,Richter,,,,Dr.,,,,Niedersachsen
161110,Schmid,,,,Dr.,,,,Tübingen
161112,Weber,,,,Dr.,,,,Essen
161157,Maier,,,,,,,,Freiburg
161225,Richter,,,,,,,,Frankfurt
161267,Schmid,,,,Dr.,,,,Tübingen
161449,Schmid,,,,Dr.,,,,Tübingen
161466,Schmid,,,,Dr.,,,,Tübingen
161468,Schmid,,,,Dr.,,,,Tübingen
161476,Schmid,,,,Dr.,,,,Tübingen
161478,Schmid,,,,Dr.,,,,Tübingen
161618,Schröder,,,,Dr.,,,,Düsseldorf
161621,Müller,,,,Dr.,,,,Bonn
161633,Müller,,,,Dr.,,,,Bonn
161661,Richter,,,,,,,,Frankfurt
161689,Richter,,,,,,,,Frankfurt
161704,Müller,,,,,,,,Frankfurt
161707,Schröder,,,,Dr.,,,,Düsseldorf
161726,Weber,,,,Dr.,,,,Essen
161736,Hilbert,,,,,zu,,,
161756,Weber,,,,Dr.,,,,Essen
161891,Richter,,,,Dr.,,,,Niedersachsen
161923,Schmid,,,,Dr.,,,,Tübingen
161925,Schmid,,,,Dr.,,,,Tübingen
161979,Schmid,,,,Dr.,,,,Tübingen
162024,Richter,,,,,,,,Frankfurt
162066,Schmid,,,,Dr.,,,,Tübingen
162067,Schmid,,,,Dr.,,,,Tübingen
162075,Schmid,,,,Dr.,,,,Tübingen
162113,Müller,,,,Dr.,,,,Bonn
162172,Müller,,,,Dr.,,,,Bonn
162172,Müller,,,,,,,,Frankfurt
162215,Richter,,,,,,,,Frankfurt
162224,Schröder,,,,Dr.,,,,Düsseldorf
162229,Müller,,,,,,,,Frankfurt
162233,Müller,,,,,,,,Frankfurt
162258,Zuruf  SPD,,,,,von der,,SPD,
162258,Schmid,,,,Dr.,,,,Tübingen
162293,Schmid,,,,Dr.,,,,Tübingen
162300,Schmid,,,,Dr.,,,,Tübingen
162305,Schmid,,,,Dr.,,,,Tübingen
162351,Mayer,,,,,,,,Stuttgart
162400,Schmid,,,,Dr.,,,,Tübingen
162454,Nowack,,,,Dr.,,,,Rheinland-Pfalz
162469,Richter,,,,Dr.,,,,Niedersachsen
162514,Schmid,,,,Dr.,,,,Tübingen
162526,Ab.  Schmid,,,,Dr.,,,,Tübingen
162538,Schmid,,,,Dr.,,,,Tübingen
162612,Schmid,,,,Dr.,,,,Tübingen
162626,Schmid,,,,Dr.,,,,Tübingen
162636,Schroeder,,,,,,,,Berlin
162660,Schmid,,,,Dr.,,,,Tübingen
162670,Schröder,,,,Dr.,,,,Düsseldorf
162674,Schmid,,,,Dr.,,,,Tübingen
162708,Zuruf rechts,,,,,,,SPD,
162714,Richter,,,,,,,,Frankfurt
162911,Weber,,,,Dr.,,,,Essen
162919,Schmid,,,,Dr.,,,,Tübingen
162922,Schmid,,,,Dr.,,,,Tübingen
162924,Schmid,,,,Dr.,,,,Tübingen
162931,Schmid,,,,Dr.,,,,Tübingen
162937,Schmid,,,,Dr.,,,,Tübingen
162939,Schmid,,,,Dr.,,,,Tübingen
163002,Schmid,,,,Dr.,,,,Tübingen
163043,Richter,,,,,,,,Frankfurt
163045,Richter,,,,,,,,Frankfurt
163058,Weber,,,,Dr.,,,,Essen
163060,Weber,,,,Dr.,,,,Essen
163069,Richter,,,,,,,,Frankfurt
163142,Schmid,,,,Dr.,,,,Tübingen
163215,Schmid,,,,Dr.,,,,Tübingen
163223,Schmid,,,,Dr.,,,,Tübingen
163227,Becker,,,,Dr.,,,,Hersfeld
163240,Schmid,,,,Dr.,,,,Tübingen
163251,Beifall in der Mitte und rechts.,,,,,,,,
163251,Schmid,,,,Dr.,,,,Tübingen
163258,Schmid,,,,Dr.,,,,Tübingen
163265,Abe.  Schmid,,,,Dr.,,,,Tübingen
163267,Schmid,,,,Dr.,,,,Tübingen
163278,Mayer,,,,,,,,Stuttgart
163283,Schmid,,,,Dr.,,,,Tübingen
163287,Schmid,,,,Dr.,,,,Tübingen
163295,Schmid,,,,Dr.,,,,Tübingen
163316,Müller,,,,,,,,Frankfurt
163324,Richter,,,,Dr.,,,,Niedersachsen
163342,Meyer,,,,,,,,Bremen
163429,Schmid,,,,Dr.,,,,Tübingen
163431,Schmid,,,,Dr.,,,,Tübingen
163433,Schmid,,,,Dr.,,,,Tübingen
163436,Heiterkeit.,,,,,,,,
163436,Schmid,,,,Dr.,,,,Tübingen
163438,Schmid,,,,Dr.,,,,Tübingen
163440,Schmid,,,,Dr.,,,,Tübingen
163440,Jaeger,,,,Dr.,,,,
163446,Schmid,,,,Dr.,,,,Tübingen
163449,Weber,weiblich,,,Dr.,,,,Essen
163450,Schmid,,,,Dr.,,,,Tübingen
163452,Schmid,,,,,,,,Tübingen
163456,Schmid,,,,Dr.,,,,Tübingen
163466,Schmid,,,,Dr.,,,,Tübingen
163521,Schmidt,,,,Dr.,,,,Niedersachsen
163560,Paul,,,,,,,,Düsseldorf
163561,Paul,,,,,,,,Düsseldorf
163563,Schmid,,,,Dr.,,,,Tübingen
163570,Schmid,,,,Dr.,,,,Tübingen
163573,Schmid,,,,,,,,Tübingen
163575,Schmid,,,,Dr.,,,,Tübingen
163594,Mayer,,,,,,,,Stuttgart
163595,Paul,,,,,,,,Düsseldorf
163610,Sehr gut! in der Mitte.,,,,,,,,
163610,Müller,,,,,,,,Frankfurt
163637,Schmid,,,,Dr.,,,,Tübingen
163648,Schmid '[Tübingen],,,,Dr.,,,,Tübingen
163714,Mayer,,,,,,,,Stuttgart
163969,Müller,,,,,,,,Frankfurt
164081,Müller,,,,,,,,Frankfurt
164146,Etzel,,,,,,,,Duisburg
164176,Mayer,,,,,,,,Stuttgart
164178,Mayer,,,,,,,,Stuttgart
164205,Schmid,,,,Dr.,,,,Tübingen
164242,Richter,,,,Dr.,,,,Niedersachsen
164245,Becker,,,,Dr.,,,,Hersfeld
164248,Schmid,,,,Dr.,,,,Tübingen
164255,Schmid,,,,Dr.,,,,Tübingen
164259,Mayer,,,,,,,,Stuttgart
164308,Schmid,,,,Dr.,,,,Tübingen
164353,Schmidt,,,,Dr.,,,,Tübingen
164354,Schmid,,,,Dr.,,,,Tübingen
164510,Schroeder,,,,,,,,Berlin
164536,Mayer,,,,,,,,Stuttgart
